searge,name,desc
net.minecraft.world.level.storage.loot.functions.SetEnchantmentsFunction,net.minecraft.world.level.storage.loot.functions.SetEnchantmentsFunction,"LootItemFunction that sets a stack's enchantments. If {@code add} is set, will add to any already existing enchantment levels instead of replacing them (ignored for enchanted books)."
net.minecraft.world.level.storage.loot.providers.score.ScoreboardNameProvider,net.minecraft.world.level.storage.loot.providers.score.ScoreboardNameProvider,Provides a scoreboard name based on a {@link LootContext}.
net.minecraft.world.item.alchemy.Potion,net.minecraft.world.item.alchemy.Potion,Defines a type of potion in the game. These are used to associate one or more effects with items such as the bottled potion or the tipped arrows.
net.minecraft.network.RateKickingConnection,net.minecraft.network.RateKickingConnection,Variant of {@link Connection} that monitors the amount of received packets and disables receiving if the set limit is exceeded.
net.minecraft.world.level.storage.loot.functions.ExplorationMapFunction,net.minecraft.world.level.storage.loot.functions.ExplorationMapFunction,"Convert any empty maps into explorer maps that lead to a structure that is nearest to the current {@linkplain LootContextParams.ORIGIN}, if present."
net.minecraft.world.level.storage.loot.entries.TagEntry,net.minecraft.world.level.storage.loot.entries.TagEntry,"A loot pool entry container that generates based on an item tag.\nIf {@code expand} is set to true, it will expand into separate LootPoolEntries for every item in the tag, otherwise it will simply generate all items in the tag."
net.minecraft.world.level.storage.loot.predicates.ExplosionCondition,net.minecraft.world.level.storage.loot.predicates.ExplosionCondition,A LootItemCondition that checks whether an item should survive from an explosion or not.\nThis condition checks the {@linkplain LootContextParams#EXPLOSION_RADIUS explosion radius loot parameter}.
net.minecraft.world.level.chunk.storage.RegionBitmap,net.minecraft.world.level.chunk.storage.RegionBitmap,Keeps track of which parts of a region file are used and which parts are free.
net.minecraft.network.Varint21LengthFieldPrepender,net.minecraft.network.Varint21LengthFieldPrepender,"Prepends each frame (""packet"") with its length encoded as a VarInt. Every frame's length must fit within a 3-byte VarInt.\n\n@see Varint21FrameDecoder"
net.minecraft.world.level.storage.loot.predicates.DamageSourceCondition,net.minecraft.world.level.storage.loot.predicates.DamageSourceCondition,A LootItemCondition which checks {@link LootContextParams#ORIGIN} and {@link LootContextParams#DAMAGE_SOURCE} against a {@link DamageSourcePredicate}.
net.minecraft.world.level.levelgen.Beardifier,net.minecraft.world.level.levelgen.Beardifier,Modifies terrain noise to be flatter near structures such as villages.
net.minecraft.world.level.storage.loot.functions.CopyBlockState,net.minecraft.world.level.storage.loot.functions.CopyBlockState,"LootItemFunction that copies a set of block state properties to the {@code ""BlockStateTag""} NBT tag of the ItemStack.\nThis tag is checked when the block is placed."
net.minecraft.world.level.storage.loot.predicates.LootItemConditions,net.minecraft.world.level.storage.loot.predicates.LootItemConditions,Registry for {@link LootItemConditionType}.\n\n@see LootItemCondition
com.mojang.blaze3d.audio.OggAudioStream,com.mojang.blaze3d.audio.OggAudioStream,An implementation of the {@link AudioStream} interface that reads Ogg Vorbis audio data from an {@link InputStream}.
net.minecraft.network.protocol.handshake.ServerHandshakePacketListener,net.minecraft.network.protocol.handshake.ServerHandshakePacketListener,PacketListener for the server side of the HANDSHAKING protocol.
net.minecraft.world.level.levelgen.structure.BoundingBox,net.minecraft.world.level.levelgen.structure.BoundingBox,"A simple three-dimensional mutable integer bounding box.\nNote that this box is both mutable, and has an implementation of {@code hashCode()} and {@code equals()}.\nThis can be used as {@code HashMap} keys for example, if the user can ensure the instances themselves are not modified."
net.minecraft.client.gui.components.tabs.TabNavigationBar$Builder,net.minecraft.client.gui.components.tabs.TabNavigationBar$Builder,Builder class for creating a TabNavigationBar instance.
